# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
B01|İskandinav Savunması|2...Nf6 3.Bb5+ Bd7|e4 d5 exd5 Nf6 Bb5+ Bd7
B01|İskandinav Savunması|2...Nf6 3.Bb5+ Bd7 4.Bc4|e4 d5 exd5 Nf6 Bb5+ Bd7 Bc4
B01|İskandinav Savunması|2...Nf6 3.Bb5+ Bd7 4.Bc4 Bg4|e4 d5 exd5 Nf6 Bb5+ Bd7 Bc4 Bg4
B01|İskandinav Savunması|2...Nf6 3.Bb5+ Bd7 4.Be2|e4 d5 exd5 Nf6 Bb5+ Bd7 Be2
B01|İskandinav Savunması|2...Nf6 3.Bb5+ Bd7 4.Be2 Nxd5 5.d4 Bf5|e4 d5 exd5 Nf6 Bb5+ Bd7 Be2 Nxd5 d4 Bf5
B01|İskandinav Savunması|2...Nf6 3.Bb5+ Nbd7|e4 d5 exd5 Nf6 Bb5+ Nbd7
B01|İskandinav Savunması|2...Nf6 3.Bc4|e4 d5 exd5 Nf6 Bc4
B01|İskandinav Savunması|2...Nf6 3.Nf3|e4 d5 exd5 Nf6 Nf3
B01|İskandinav Savunması|2...Nf6 3.Nf3 Nxd5|e4 d5 exd5 Nf6 Nf3 Nxd5
B01|İskandinav Savunması|2...Nf6 3.c4|e4 d5 exd5 Nf6 c4
B01|İskandinav Savunması|2...Nf6 3.d4|e4 d5 exd5 Nf6 d4
B01|İskandinav Savunması|2...Qxd5|e4 d5 exd5 Qxd5
B01|İskandinav Savunması|2...Qxd5 3.Nc3|e4 d5 exd5 Qxd5 Nc3
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5|e4 d5 exd5 Qxd5 Nc3 Qa5
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.Bc4|e4 d5 exd5 Qxd5 Nc3 Qa5 Bc4
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.Bc4 Nf6|e4 d5 exd5 Qxd5 Nc3 Qa5 Bc4 Nf6
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.Nf3|e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.Nf3 Nf6|e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Nf6
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.Nf3 Nf6 5.Be2|e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Nf6 Be2
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.d4|e4 d5 exd5 Qxd5 Nc3 Qa5 d4
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.d4 Nf6|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.d4 c6|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 c6
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.d4 c6 5.Bc4|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 c6 Bc4
B01|İskandinav Savunması|2...Qxd5 3.Nc3 Qa5 4.d4 c6 5.Nf3|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 c6 Nf3
