# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
C01|Fransız|Exchange, 4.c4 c6|e4 e6 d4 d5 exd5 exd5 c4 c6
C01|Fransız|Exchange, Bogoljubow Variation|e4 e6 d4 d5 exd5 exd5 Nc3 Nf6 Bg5 Nc6
C01|Fransız|Exchange, Canal Attack|e4 e6 d4 d5 exd5 exd5 Nc3 Bb4 Bd3 Ne7 Qh5
C01|Fransız|Exchange, Svenonius Variation|e4 e6 d4 d5 exd5 exd5 Nc3 Nf6 Bg5
C02|Fransız|Advance|e4 e6 d4 d5 e5
C02|Fransız|Advance, 3...Ne7|e4 e6 d4 d5 e5 Ne7
C02|Fransız|Advance, 3...b6|e4 e6 d4 d5 e5 b6
C02|Fransız|Advance, 3...b6|e4 e6 d4 d5 e5 b6 c3 Qd7
C02|Fransız|Advance, 3...c5|e4 e6 d4 d5 e5 c5
C02|Fransız|Advance, 4...Nc6|e4 e6 d4 d5 e5 c5 c3 Nc6
C02|Fransız|Advance, 4.Nf3|e4 e6 d4 d5 e5 c5 Nf3
C02|Fransız|Advance, 4.c3|e4 e6 d4 d5 e5 c5 c3
C02|Fransız|Advance, 4.c3 Qb6|e4 e6 d4 d5 e5 c5 c3 Qb6
C02|Fransız|Advance, 5.Nf3 Nge7|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Nge7
C02|Fransız|Advance, 5.Nf3 Qb6|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6
C02|Fransız|Advance, 5.Nf3 Qb6 6.Be2|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 Be2
C02|Fransız|Advance, 5.Nf3 Qb6 6.Be2 cxd4 7.cxd4|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 Be2 cxd4 cxd4
C02|Fransız|Advance, 5.Nf3 Qb6 6.a3|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 a3
C02|Fransız|Advance, 5.Nf3 Qb6 6.a3 Bd7|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 a3 Bd7
C02|Fransız|Advance, 5.Nf3 Qb6 6.a3 Nh6|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 a3 Nh6
C02|Fransız|Advance, 5.Nf3 Qb6 6.a3 c4|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 a3 c4
C02|Fransız|Advance, 5.Nf3 Qb6 6.a3 c4 7.Nbd2|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 a3 c4 Nbd2
C02|Fransız|Advance, Euwe|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Bd7
C02|Fransız|Advance, Euwe, 6.Be2|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Bd7 Be2
C02|Fransız|Advance, Euwe, 6.Be2 Nge7|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Bd7 Be2 Nge7
C02|Fransız|Advance, Euwe, 6.a3|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Bd7 a3
C02|Fransız|Advance, Milner-Barry Gambit|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 Bd3
C02|Fransız|Advance, Nimzowitsch Attack|e4 e6 d4 d5 e5 c5 Qg4
C02|Fransız|Advance, Nimzowitsch Gambit|e4 e6 d4 d5 e5 c5 Qg4 cxd4 Nf3
C02|Fransız|Advance, Paulsen|e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3
C02|Fransız|Advance, Ruisdonk Gambit|e4 e6 d4 d5 e5 c5 Nf3 cxd4 Bd3
C02|Fransız|Advance, Steinitz|e4 e6 d4 d5 e5 c5 dxc5
C02|Fransız|Advance, Wade|e4 e6 d4 d5 e5 c5 c3 Qb6 Nf3 Bd7
C02|Fransız|Advance, Wade, 6.Be2|e4 e6 d4 d5 e5 c5 c3 Qb6 Nf3 Bd7 Be2
C02|Fransız|Advance, Wing Gambit|e4 e6 d4 d5 e5 c5 b4
C03|Fransız|Tarrasch|e4 e6 d4 d5 Nd2
C03|Fransız|Tarrasch, 3...Be7|e4 e6 d4 d5 Nd2 Be7
C03|Fransız|Tarrasch, 3...Be7 4.Bd3|e4 e6 d4 d5 Nd2 Be7 Bd3
C03|Fransız|Tarrasch, 3...Be7 4.Bd3 c5|e4 e6 d4 d5 Nd2 Be7 Bd3 c5
C03|Fransız|Tarrasch, 3...Be7 4.Bd3 c5 5.dxc5 Nf6|e4 e6 d4 d5 Nd2 Be7 Bd3 c5 dxc5 Nf6
C03|Fransız|Tarrasch, 3...Be7 4.Ngf3|e4 e6 d4 d5 Nd2 Be7 Ngf3
C03|Fransız|Tarrasch, 3...Be7 4.Ngf3 Nf6|e4 e6 d4 d5 Nd2 Be7 Ngf3 Nf6
C03|Fransız|Tarrasch, 3...Be7 4.Ngf3 Nf6 5.Bd3|e4 e6 d4 d5 Nd2 Be7 Ngf3 Nf6 Bd3
C03|Fransız|Tarrasch, 3...a6|e4 e6 d4 d5 Nd2 a6
C03|Fransız|Tarrasch, 3...a6 4.Ngf3|e4 e6 d4 d5 Nd2 a6 Ngf3
C03|Fransız|Tarrasch, 3...b6|e4 e6 d4 d5 Nd2 b6
C03|Fransız|Tarrasch, 3...dxe4|e4 e6 d4 d5 Nd2 dxe4
C03|Fransız|Tarrasch, Guimard Variation|e4 e6 d4 d5 Nd2 Nc6
C03|Fransız|Tarrasch, Guimard, 4.Ngf3|e4 e6 d4 d5 Nd2 Nc6 Ngf3
C03|Fransız|Tarrasch, Guimard, 4.c3|e4 e6 d4 d5 Nd2 Nc6 c3
C03|Fransız|Tarrasch, Guimard, 4.c3 e5|e4 e6 d4 d5 Nd2 Nc6 c3 e5
C03|Fransız|Tarrasch, Haberditz Variation|e4 e6 d4 d5 Nd2 f5
C04|Fransız|Tarrasch, Guimard, 4.Ngf3 Nf6|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6
C04|Fransız|Tarrasch, Guimard, 4.Ngf3 Nf6 5.e5|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6 e5
C04|Fransız|Tarrasch, Guimard, Main Line|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6 e5 Nd7
C04|Fransız|Tarrasch, Guimard, Main Line, 6.Bb5|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6 e5 Nd7 Bb5
C04|Fransız|Tarrasch, Guimard, Main Line, 6.Be2|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6 e5 Nd7 Be2
C04|Fransız|Tarrasch, Guimard, Main Line, 6.Be2 f6|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6 e5 Nd7 Be2 f6
C04|Fransız|Tarrasch, Guimard, Main Line, 6.Nb3|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6 e5 Nd7 Nb3
C04|Fransız|Tarrasch, Guimard, Main Line, 6.Nb3 Be7|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6 e5 Nd7 Nb3 Be7
C04|Fransız|Tarrasch, Guimard, Main Line, 6.Nb3 a5|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6 e5 Nd7 Nb3 a5
C04|Fransız|Tarrasch, Guimard, Main Line, 6.c3|e4 e6 d4 d5 Nd2 Nc6 Ngf3 Nf6 e5 Nd7 c3
C05|Fransız|Tarrasch, 5.Bd3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3
C05|Fransız|Tarrasch, Botvinnik|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 b6
C05|Fransız|Tarrasch, Closed|e4 e6 d4 d5 Nd2 Nf6
C05|Fransız|Tarrasch, Closed, 4...Ne4|e4 e6 d4 d5 Nd2 Nf6 e5 Ne4
C05|Fransız|Tarrasch, Closed, 4...Ne4 5.Nxe4|e4 e6 d4 d5 Nd2 Nf6 e5 Ne4 Nxe4
C05|Fransız|Tarrasch, Closed, 4...Nfd7|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7
C05|Fransız|Tarrasch, Closed, 4.e5|e4 e6 d4 d5 Nd2 Nf6 e5
C05|Fransız|Tarrasch, Closed, 5.c3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 c3
C05|Fransız|Tarrasch, Closed, 5.f4|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6 7.Ndf3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6 Ndf3
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6 7.Ndf3 Qb6|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6 Ndf3 Qb6
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6 7.Ndf3 Qb6 8.Ne2|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6 Ndf3 Qb6 Ne2
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6 7.Ndf3 Qb6 8.Ne2|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6 Ndf3 Qb6 Ne2 cxd4 cxd4
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6 7.Ndf3 Qb6 8.g3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6 Ndf3 Qb6 g3
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6 7.Ndf3 Qb6 8.g3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6 Ndf3 Qb6 g3 cxd4 cxd4
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6 7.Ndf3 Qb6 8.h4|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6 Ndf3 Qb6 h4
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6 7.Ndf3 Qb6 8.h4|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6 Ndf3 Qb6 h4 cxd4 cxd4
C05|Fransız|Tarrasch, Closed, 5.f4 c5 6.c3 Nc6 7.Ndf3 cxd4|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 f4 c5 c3 Nc6 Ndf3 cxd4
C05|Fransız|Tarrasch, Closed, 6...Nc6|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6
C05|Fransız|Tarrasch, Closed, 7.Ndf3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ndf3
C05|Fransız|Tarrasch, Closed, 7.Ndf3 Qa5|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ndf3 Qa5
C05|Fransız|Tarrasch, Closed, 7.Ne2|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2
C05|Fransız|Tarrasch, Closed, 7.Ne2 a5|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 a5
C05|Fransız|Tarrasch, Closed, 7.Ngf3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ngf3
C05|Fransız|Tarrasch, Closed, 7.Ngf3 Be7|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ngf3 Be7
C05|Fransız|Tarrasch, Closed, 7.Ngf3 Be7 8.O-O g5|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ngf3 Be7 O-O g5
C05|Fransız|Tarrasch, Closed, Nunn-Korchnoi Gambit|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ngf3 Qb6 O-O
C06|Fransız|Tarrasch, Closed, 8...Qb6|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 Qb6
C06|Fransız|Tarrasch, Closed, 8...Qb6 9.Nf3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 Qb6 Nf3
C06|Fransız|Tarrasch, Closed, 8...Qb6 9.Nf3 f6|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 Qb6 Nf3 f6
C06|Fransız|Tarrasch, Closed, 8...Qb6 9.O-O|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 Qb6 O-O
C06|Fransız|Tarrasch, Closed, 8...f6|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6
C06|Fransız|Tarrasch, Closed, 8...f6 9.Nf4|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 Nf4
C06|Fransız|Tarrasch, Closed, 8...f6 9.exf6|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 exf6
C06|Fransız|Tarrasch, Closed, 8...f6 9.exf6 Nxf6|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6
C06|Fransız|Tarrasch, Closed, 8...f6 9.exf6 Nxf6 10.O-O Bd6 11.Nf3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6 O-O Bd6 Nf3
C06|Fransız|Tarrasch, Closed, 8...f6 9.exf6, 11...O-O|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6 O-O Bd6 Nf3 O-O
C06|Fransız|Tarrasch, Closed, 8...f6 9.exf6, 11...O-O 12.Bf4|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6 O-O Bd6 Nf3 O-O Bf4
C06|Fransız|Tarrasch, Closed, 8...f6 9.exf6, 11...Qb6|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6 O-O Bd6 Nf3 Qb6
C06|Fransız|Tarrasch, Closed, 8...f6 9.exf6, 11...Qb6 12.Nc3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6 O-O Bd6 Nf3 Qb6 Nc3
C06|Fransız|Tarrasch, Closed, 8...f6 9.exf6, 11...Qc7|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6 O-O Bd6 Nf3 Qc7
C06|Fransız|Tarrasch, Closed, 8...f6 9.exf6, 11...Qc7 12.Bg5|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 f6 exf6 Nxf6 O-O Bd6 Nf3 Qc7 Bg5
C06|Fransız|Tarrasch, Closed, Leningrad|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 Nb6
C06|Fransız|Tarrasch, Closed, Leningrad, 9.Nf3|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 Nb6 Nf3
C06|Fransız|Tarrasch, Closed, Leningrad, 9.O-O|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 Nb6 O-O
C06|Fransız|Tarrasch, Closed, Leningrad, 9.O-O Bd7|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 Nb6 O-O Bd7
C06|Fransız|Tarrasch, Closed, Leningrad, 9.O-O a5|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4 Nb6 O-O a5
C06|Fransız|Tarrasch, Closed, Main Line|e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Bd3 c5 c3 Nc6 Ne2 cxd4 cxd4
C07|Fransız|Tarrasch, Open|e4 e6 d4 d5 Nd2 c5
C07|Fransız|Tarrasch, Open, 4.Ngf3|e4 e6 d4 d5 Nd2 c5 Ngf3
C07|Fransız|Tarrasch, Open, 4.Ngf3 Nc6|e4 e6 d4 d5 Nd2 c5 Ngf3 Nc6
C07|Fransız|Tarrasch, Open, 4.Ngf3 Nf6|e4 e6 d4 d5 Nd2 c5 Ngf3 Nf6
C07|Fransız|Tarrasch, Open, 4.Ngf3 a6|e4 e6 d4 d5 Nd2 c5 Ngf3 a6
C07|Fransız|Tarrasch, Open, 4.Ngf3 cxd4|e4 e6 d4 d5 Nd2 c5 Ngf3 cxd4
C07|Fransız|Tarrasch, Open, 4.c3|e4 e6 d4 d5 Nd2 c5 c3
C07|Fransız|Tarrasch, Open, 4.dxc5|e4 e6 d4 d5 Nd2 c5 dxc5
C07|Fransız|Tarrasch, Open, 4.exd5|e4 e6 d4 d5 Nd2 c5 exd5
C07|Fransız|Tarrasch, Open, 4.exd5 Qxd5|e4 e6 d4 d5 Nd2 c5 exd5 Qxd5
C07|Fransız|Tarrasch, Open, 4.exd5 Qxd5 5.Ngf3|e4 e6 d4 d5 Nd2 c5 exd5 Qxd5 Ngf3
C07|Fransız|Tarrasch, Open, 4.exd5 Qxd5 5.Ngf3 cxd4|e4 e6 d4 d5 Nd2 c5 exd5 Qxd5 Ngf3 cxd4
C07|Fransız|Tarrasch, Open, 4.exd5 Qxd5 5.Ngf3 cxd4 6.Bc4|e4 e6 d4 d5 Nd2 c5 exd5 Qxd5 Ngf3 cxd4 Bc4
C07|Fransız|Tarrasch, Open, 4.exd5 Qxd5 5.Ngf3 cxd4 6.Bc4 Qd6|e4 e6 d4 d5 Nd2 c5 exd5 Qxd5 Ngf3 cxd4 Bc4 Qd6
C07|Fransız|Tarrasch, Open, 4.exd5 Qxd5, Main Line, 10.Nxd4|e4 e6 d4 d5 Nd2 c5 exd5 Qxd5 Ngf3 cxd4 Bc4 Qd6 O-O Nf6 Nb3 Nc6 Nbxd4 Nxd4 Nxd4
