# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
D00|Vezir Piyonu Oyunu|2.c3 Nf6|d4 d5 c3 Nf6
D00|Vezir Piyonu Oyunu|2.c3 Nf6 3.Bf4|d4 d5 c3 Nf6 Bf4
D00|Vezir Piyonu Oyunu|2.c3 Nf6 3.Bg5|d4 d5 c3 Nf6 Bg5
D00|Vezir Piyonu Oyunu|2.e3|d4 d5 e3
D00|Vezir Piyonu Oyunu|2.e3 Nf6|d4 d5 e3 Nf6
D00|Vezir Piyonu Oyunu|2.f4|d4 d5 f4
D00|Vezir Piyonu Oyunu|2.g3|d4 d5 g3
D00|Vezir Piyonu Oyunu|Anti-King's Indian|d4 d5 Nc3 Nf6 Nf3 g6 Bf4
D00|Vezir Piyonu Oyunu|Anti-King's Indian, Main Line|d4 d5 Nc3 Nf6 Nf3 g6 Bf4 Bg7 e3 O-O Be2
D00|Vezir Piyonu Oyunu|Mason Variation|d4 d5 Bf4
D00|Vezir Piyonu Oyunu|Stonewall Attack|d4 d5 e3 Nf6 Bd3
D00|Vezir Piyonu Oyunu|Veresov Attack|d4 d5 Nc3
D00|Vezir Piyonu Oyunu|Veresov Attack|d4 d5 Nc3 Bf5
D00|Vezir Piyonu Oyunu|Veresov Attack|d4 d5 Nc3 Nf6
D00|Vezir Piyonu Oyunu|Veresov, 3.Bf4|d4 d5 Nc3 Nf6 Bf4
D00|Vezir Piyonu Oyunu|Veresov, 3.Nf3|d4 d5 Nc3 Nf6 Nf3
D00|Vezir Piyonu Oyunu|Veresov, 3.Nf3 g6|d4 d5 Nc3 Nf6 Nf3 g6
D01|Richter-Veresov Atağı|3...Bf5|d4 d5 Nc3 Nf6 Bg5 Bf5
D01|Richter-Veresov Atağı|3...Bf5 4.Bxf6|d4 d5 Nc3 Nf6 Bg5 Bf5 Bxf6
D01|Richter-Veresov Atağı|3...Bf5 4.Nf3|d4 d5 Nc3 Nf6 Bg5 Bf5 Nf3
D01|Richter-Veresov Atağı|3...Bf5 4.f3|d4 d5 Nc3 Nf6 Bg5 Bf5 f3
D01|Richter-Veresov Atağı|3...Nbd7|d4 d5 Nc3 Nf6 Bg5 Nbd7
D01|Richter-Veresov Atağı|3...Nbd7 4.Nf3|d4 d5 Nc3 Nf6 Bg5 Nbd7 Nf3
D01|Richter-Veresov Atağı|3...Nbd7 4.Nf3 g6|d4 d5 Nc3 Nf6 Bg5 Nbd7 Nf3 g6
D01|Richter-Veresov Atağı|3...Nbd7 4.Nf3 h6|d4 d5 Nc3 Nf6 Bg5 Nbd7 Nf3 h6
D01|Richter-Veresov Atağı|3...Nbd7 4.f3|d4 d5 Nc3 Nf6 Bg5 Nbd7 f3
D01|Richter-Veresov Atağı|3...Ne4|d4 d5 Nc3 Nf6 Bg5 Ne4
D01|Richter-Veresov Atağı|3...c5|d4 d5 Nc3 Nf6 Bg5 c5
D01|Richter-Veresov Atağı|3...c6|d4 d5 Nc3 Nf6 Bg5 c6
D01|Richter-Veresov Atağı|3...e6|d4 d5 Nc3 Nf6 Bg5 e6
D01|Richter-Veresov Atağı|3...g6|d4 d5 Nc3 Nf6 Bg5 g6
D01|Richter-Veresov Atağı|3...h6|d4 d5 Nc3 Nf6 Bg5 h6
D01|Richter-Veresov Attack|Ana Hat|d4 d5 Nc3 Nf6 Bg5
D02|Vezir Piyonu Oyunu|2.Nf3|d4 d5 Nf3
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5|d4 d5 Nf3 Bf5
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.Bf4|d4 d5 Nf3 Bf5 Bf4
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.Bf4 c6|d4 d5 Nf3 Bf5 Bf4 c6
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.Bf4 e6|d4 d5 Nf3 Bf5 Bf4 e6
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.e3|d4 d5 Nf3 Bf5 e3
D02|Vezir Piyonu Oyunu|2.Nf3 Bf5 3.e3 c6|d4 d5 Nf3 Bf5 e3 c6
D02|Vezir Piyonu Oyunu|2.Nf3 Bg4|d4 d5 Nf3 Bg4
D02|Vezir Piyonu Oyunu|2.Nf3 Nc6|d4 d5 Nf3 Nc6
D02|Vezir Piyonu Oyunu|2.Nf3 Nc6 3.Bf4|d4 d5 Nf3 Nc6 Bf4
D02|Vezir Piyonu Oyunu|2.Nf3 Nc6 3.g3|d4 d5 Nf3 Nc6 g3
D02|Vezir Piyonu Oyunu|2.Nf3 Nc6 3.g3 Bg4|d4 d5 Nf3 Nc6 g3 Bg4
D02|Vezir Piyonu Oyunu|2.Nf3 Nf6|d4 d5 Nf3 Nf6
D02|Vezir Piyonu Oyunu|2.Nf3 c6|d4 d5 Nf3 c6
D02|Vezir Piyonu Oyunu|2.Nf3 e6|d4 d5 Nf3 e6
D02|Vezir Piyonu Oyunu|2.Nf3 e6 3.g3|d4 d5 Nf3 e6 g3
D02|Vezir Piyonu Oyunu|2.Nf3 e6 3.g3 c5|d4 d5 Nf3 e6 g3 c5
D02|Vezir Piyonu Oyunu|2.Nf3 e6 3.g3 c5|d4 d5 Nf3 e6 g3 c5 Bg2
D02|Vezir Piyonu Oyunu|2.Nf3 e6 3.g3 c5|d4 d5 Nf3 e6 g3 c5 Bg2 cxd4 Nxd4
D02|Vezir Piyonu Oyunu|2.Nf3 e6 3.g3 c5|d4 d5 Nf3 e6 g3 c5 Bg2 cxd4 Nxd4 e5
D02|Vezir Piyonu Oyunu|2.Nf3 g6|d4 d5 Nf3 g6
D02|Vezir Piyonu Oyunu|3.c3|d4 d5 Nf3 Nf6 c3
D02|Vezir Piyonu Oyunu|3.g3|d4 d5 Nf3 Nf6 g3
D02|Vezir Piyonu Oyunu|3.g3 c6|d4 d5 Nf3 Nf6 g3 c6
D02|Vezir Piyonu Oyunu|3.g3 c6|d4 d5 Nf3 Nf6 g3 c6 Bg2
D02|Vezir Piyonu Oyunu|3.g3 c6 4.Bg2 Bg4|d4 d5 Nf3 Nf6 g3 c6 Bg2 Bg4
D02|Vezir Piyonu Oyunu|3.g3 c6 4.Bg2 Bg4|d4 d5 Nf3 Nf6 g3 c6 Bg2 Bg4 O-O
D02|Vezir Piyonu Oyunu|3.g3 c6 4.Bg2 Bg4|d4 d5 Nf3 Nf6 g3 c6 Bg2 Bg4 O-O Nbd7
D02|Vezir Piyonu Oyunu|3.g3 c6 4.Bg2 Bg4|d4 d5 Nf3 Nf6 g3 c6 Bg2 Bg4 O-O Nbd7 Nbd2 e6
D02|Vezir Piyonu Oyunu|3.g3 g6|d4 d5 Nf3 Nf6 g3 g6
D02|Vezir Piyonu Oyunu|3.g3 g6|d4 d5 Nf3 Nf6 g3 g6 Bg2 Bg7
D02|Vezir Piyonu Oyunu|3.g3 g6|d4 d5 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O
D02|Vezir Piyonu Oyunu|Krause Variation|d4 d5 Nf3 c5
D02|Vezir Piyonu Oyunu|Krause, 3.c4|d4 d5 Nf3 c5 c4
D02|Vezir Piyonu Oyunu|Krause, Reversed QGA|d4 d5 Nf3 c5 dxc5
D02|Vezir Piyonu Oyunu|Krause, Reversed QGD|d4 d5 Nf3 c5 e3
D02|Vezir Piyonu Oyunu|Krause, Reversed Slav|d4 d5 Nf3 c5 c3
D02|Vezir Piyonu Oyunu|London|d4 d5 Nf3 c6 Bf4
D02|Vezir Piyonu Oyunu|London|d4 d5 Nf3 Nf6 Bf4
D02|Vezir Piyonu Oyunu|London|d4 d5 Nf3 Nf6 Bf4 Bf5
D02|Vezir Piyonu Oyunu|London|d4 d5 Nf3 Nf6 Bf4 e6
D02|Vezir Piyonu Oyunu|London|d4 d5 Nf3 Nf6 Bf4 c5
D02|Vezir Piyonu Oyunu|London|d4 d5 Nf3 Nf6 Bf4 c5 e3 e6
D02|Vezir Piyonu Oyunu|London|d4 d5 Nf3 Nf6 Bf4 c5 e3 e6 c3 Nc6
D02|Vezir Piyonu Oyunu|London|d4 d5 Nf3 Nf6 Bf4 e6 e3 c5 c3 Nc6 Bd3 Bd6
D02|Vezir Piyonu Oyunu|London, Alapin Variation|d4 d5 Nf3 c6 Bf4 Qb6
D03|Torre Atağı|3...Ne4|d4 d5 Nf3 Nf6 Bg5 Ne4
D03|Torre Atağı|3...Ne4 4.Bf4|d4 d5 Nf3 Nf6 Bg5 Ne4 Bf4
D03|Torre Atağı|3...e6|d4 d5 Nf3 Nf6 Bg5 e6
D03|Torre Atağı|3...e6 4.e3|d4 d5 Nf3 Nf6 Bg5 e6 e3
D03|Torre Atağı|3...e6 4.e3 Nbd7|d4 d5 Nf3 Nf6 Bg5 e6 e3 Nbd7
D03|Torre Atağı|3...e6 4.e3 Nbd7|d4 d5 Nf3 Nf6 Bg5 e6 e3 Nbd7 Nbd2 Be7
D03|Torre Atağı|3...e6 4.e3 c5|d4 d5 Nf3 Nf6 Bg5 e6 e3 c5
D03|Torre Atağı|3...e6 4.e3 c5|d4 d5 Nf3 Nf6 Bg5 e6 e3 c5 Nbd2 Nbd7
D03|Torre Atağı|3...e6 4.e3 c5|d4 d5 Nf3 Nf6 Bg5 e6 e3 c5 Nbd2 Be7
D03|Torre Atağı|3...e6 4.e3 c5|d4 d5 Nf3 Nf6 Bg5 e6 e3 c5 Nbd2 Be7 c3 Nbd7
D03|Torre Atağı|3...g6|d4 d5 Nf3 Nf6 Bg5 g6
D03|Torre Atağı|3...g6|d4 d5 Nf3 Nf6 Bg5 g6 c3 Bg7
D03|Torre Atağı|3...g6|d4 d5 Nf3 Nf6 Bg5 g6 Nbd2
D03|Torre Atağı|3...g6|d4 d5 Nf3 Nf6 Bg5 g6 Nbd2 Bg7
D03|Torre Atağı|3...g6 4.e3|d4 d5 Nf3 Nf6 Bg5 g6 e3
D03|Torre Atağı|3...g6 4.e3|d4 d5 Nf3 Nf6 Bg5 g6 e3 Bg7
D03|Torre Atağı|3...g6 4.e3 Bg7 5.Nbd2|d4 d5 Nf3 Nf6 Bg5 g6 e3 Bg7 Nbd2
D03|Torre Atağı|3...g6 4.e3 Bg7 5.Nbd2 O-O|d4 d5 Nf3 Nf6 Bg5 g6 e3 Bg7 Nbd2 O-O
D03|Torre Atağı|3...g6 4.e3 Bg7 5.Nbd2 O-O 6.Bd3|d4 d5 Nf3 Nf6 Bg5 g6 e3 Bg7 Nbd2 O-O Bd3
D03|Torre Atağı|3...g6 4.e3 Bg7 5.Nbd2 O-O 6.Bd3 c5|d4 d5 Nf3 Nf6 Bg5 g6 Nbd2 Bg7 e3 O-O Bd3 c5
D03|Torre Atağı|3...g6 4.e3 Bg7 5.Nbd2 O-O 6.Bd3 c5|d4 d5 Nf3 Nf6 Bg5 g6 Nbd2 Bg7 e3 O-O Bd3 c5 c3
D03|Torre Atağı|3...g6 4.e3 Bg7 5.Nbd2 O-O 6.Bd3 c5 7.c3 Nbd7|d4 d5 Nf3 Nf6 Bg5 g6 Nbd2 Bg7 e3 O-O Bd3 c5 c3 Nbd7
D03|Torre Atağı|3...g6 4.e3 Bg7 5.Nbd2 O-O 6.c3|d4 d5 Nf3 Nf6 Bg5 g6 Nbd2 Bg7 e3 O-O c3
D03|Torre Atağı|3...g6 4.e3 Bg7 5.Nbd2 O-O 6.c3 Nbd7|d4 d5 Nf3 Nf6 Bg5 g6 Nbd2 Bg7 e3 O-O c3 Nbd7
D03|Torre Atağı|3...g6 4.e3 Bg7 5.Nbd2 O-O 6.c3 Nbd7 7.Be2|d4 d5 Nf3 Nf6 Bg5 g6 Nbd2 Bg7 e3 O-O c3 Nbd7 Be2
D03|Torre Attack (Tartakower)|Ana Hat|d4 d5 Nf3 Nf6 Bg5
D04|Colle Sistemi|3...Bf5|d4 d5 Nf3 Nf6 e3 Bf5
D04|Colle Sistemi|3...Bf5, Alekhine Variation|d4 d5 Nf3 Nf6 e3 Bf5 Bd3 e6
D04|Colle Sistemi|3...Bg4|d4 d5 Nf3 Nf6 e3 Bg4
D04|Colle Sistemi|3...c5|d4 d5 Nf3 Nf6 e3 c5
D04|Colle Sistemi|3...c5 4.c3|d4 d5 Nf3 Nf6 e3 c5 c3
D04|Colle Sistemi|3...c5 4.c3 Nbd7|d4 d5 Nf3 Nf6 e3 c5 c3 Nbd7
D04|Colle Sistemi|3...c5 4.c3 Nc6|d4 d5 Nf3 Nf6 e3 c5 c3 Nc6
D04|Colle Sistemi|3...c6|d4 d5 Nf3 Nf6 e3 c6
D04|Colle Sistemi|3...g6|d4 d5 Nf3 Nf6 e3 g6
D04|Vezir Piyonu Oyunu|Colle|d4 d5 Nf3 Nf6 e3
D05|Colle Sistemi|3...e6|d4 d5 Nf3 Nf6 e3 e6
D05|Colle Sistemi|3...e6 4.Bd3|d4 d5 Nf3 Nf6 e3 e6 Bd3
D05|Colle Sistemi|3...e6 4.Bd3 c5|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5
D05|Colle Sistemi|3...e6 4.Nbd2|d4 d5 Nf3 Nf6 e3 e6 Nbd2
D05|Colle Sistemi|5.c3|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5 c3
D05|Colle Sistemi|5.c3 Nbd7|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5 c3 Nbd7
D05|Colle Sistemi|5.c3 Nc6|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5 c3 Nc6
D05|Colle Sistemi|5.c3 Nc6 6.Nbd2|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5 c3 Nc6 Nbd2
D05|Colle Sistemi|5.c3 Nc6 6.Nbd2 Bd6|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5 c3 Nc6 Nbd2 Bd6
D05|Colle Sistemi|5.c3 Nc6 6.Nbd2 Bd6 7.O-O O-O|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5 c3 Nc6 Nbd2 Bd6 O-O O-O
D05|Colle Sistemi|5.c3 Nc6 6.Nbd2 Bd6 7.O-O O-O 8.dxc5 Bxc5|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5 c3 Nc6 Nbd2 Bd6 O-O O-O dxc5 Bxc5
D05|Colle Sistemi|Rubinstein's Attack|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5 b3
D05|Colle Sistemi|Rubinstein's Attack, 5...Nc6|d4 d5 Nf3 Nf6 e3 e6 Bd3 c5 b3 Nc6
D05|Colle Sistemi|Zukertort Variation|d4 d5 Nf3 Nf6 e3 e6 Nbd2 c5 b3
D06|Queen's Gambit|Ana Hat|d4 d5 c4
D06|Vezir Gambiti Reddedildi|2...Bf5|d4 d5 c4 Bf5
D06|Vezir Gambiti Reddedildi|2...Bf5 3.Nc3|d4 d5 c4 Bf5 Nc3
D06|Vezir Gambiti Reddedildi|2...Bf5 3.Nc3 e6|d4 d5 c4 Bf5 Nc3 e6
D06|Vezir Gambiti Reddedildi|2...Bf5 3.Nf3|d4 d5 c4 Bf5 Nf3
D06|Vezir Gambiti Reddedildi|2...Bf5 3.Nf3 e6|d4 d5 c4 Bf5 Nf3 e6
D06|Vezir Gambiti Reddedildi|2...Bf5 3.Nf3 e6 4.Nc3|d4 d5 c4 Bf5 Nf3 e6 Nc3
D06|Vezir Gambiti Reddedildi|2...Bf5 3.Nf3 e6 4.Nc3 Nf6|d4 d5 c4 Bf5 Nf3 e6 Nc3 Nf6
D06|Vezir Gambiti Reddedildi|2...Bf5 3.Nf3 e6 4.Qb3|d4 d5 c4 Bf5 Nf3 e6 Qb3
D06|Vezir Gambiti Reddedildi|2...Bf5 3.Qb3|d4 d5 c4 Bf5 Qb3
D06|Vezir Gambiti Reddedildi|2...Bf5 3.cxd5|d4 d5 c4 Bf5 cxd5
D06|Vezir Gambiti Reddedildi|2...Bf5 3.cxd5 Bxb1 4.Qa4+|d4 d5 c4 Bf5 cxd5 Bxb1 Qa4+
D06|Vezir Gambiti Reddedildi|2...Bf5 3.cxd5 Bxb1 4.Qa4+ c6 5.Rxb1|d4 d5 c4 Bf5 cxd5 Bxb1 Qa4+ c6 Rxb1
D06|Vezir Gambiti Reddedildi|2...Bf5 3.cxd5 Bxb1 4.Rxb1|d4 d5 c4 Bf5 cxd5 Bxb1 Rxb1
D06|Vezir Gambiti Reddedildi|Austrian Defence|d4 d5 c4 c5
D06|Vezir Gambiti Reddedildi|Austrian, Rubinstein Variation|d4 d5 c4 c5 cxd5 Nf6
D06|Vezir Gambiti Reddedildi|Austrian, Rubinstein, 4.Nf3|d4 d5 c4 c5 cxd5 Nf6 Nf3
D06|Vezir Gambiti Reddedildi|Austrian, Rubinstein, 4.Nf3 cxd4|d4 d5 c4 c5 cxd5 Nf6 Nf3 cxd4
D06|Vezir Gambiti Reddedildi|Austrian, Rubinstein, 4.dxc5|d4 d5 c4 c5 cxd5 Nf6 dxc5
D06|Vezir Gambiti Reddedildi|Marshall Defence|d4 d5 c4 Nf6
D06|Vezir Gambiti Reddedildi|Marshall Defence, 3.Nc3|d4 d5 c4 Nf6 Nc3
D06|Vezir Gambiti Reddedildi|Marshall Defence, 3.Nf3|d4 d5 c4 Nf6 Nf3
D06|Vezir Gambiti Reddedildi|Marshall Defence, 3.cxd5|d4 d5 c4 Nf6 cxd5
D06|Vezir Gambiti Reddedildi|Marshall Defence, 3.cxd5 Nxd5|d4 d5 c4 Nf6 cxd5 Nxd5
D06|Vezir Gambiti Reddedildi|Marshall Defence, 3.cxd5 Nxd5 4.Nf3|d4 d5 c4 Nf6 cxd5 Nxd5 Nf3
D06|Vezir Gambiti Reddedildi|Marshall Defence, 3.cxd5 Nxd5 4.e4|d4 d5 c4 Nf6 cxd5 Nxd5 e4
D07|Vezir Gambiti Reddedildi|Chigorin Defence|d4 d5 c4 Nc6
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nc3|d4 d5 c4 Nc6 Nc3
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nc3 Nf6|d4 d5 c4 Nc6 Nc3 Nf6
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nc3 Nf6 4.Nf3|d4 d5 c4 Nc6 Nc3 Nf6 Nf3
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nc3 Nf6 4.Nf3 Bg4|d4 d5 c4 Nc6 Nc3 Nf6 Nf3 Bg4
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nc3 dxc4|d4 d5 c4 Nc6 Nc3 dxc4
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nc3 dxc4 4.Nf3|d4 d5 c4 Nc6 Nc3 dxc4 Nf3
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nc3 dxc4 4.Nf3 Nf6|d4 d5 c4 Nc6 Nc3 dxc4 Nf3 Nf6
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nc3 dxc4 4.Nf3 Nf6 5.e4|d4 d5 c4 Nc6 Nc3 dxc4 Nf3 Nf6 e4
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nc3 dxc4 4.d5|d4 d5 c4 Nc6 Nc3 dxc4 d5
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nf3|d4 d5 c4 Nc6 Nf3
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nf3 Bg4|d4 d5 c4 Nc6 Nf3 Bg4
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nf3 Bg4 4.Nc3|d4 d5 c4 Nc6 Nf3 Bg4 Nc3
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nf3 Bg4 4.cxd5|d4 d5 c4 Nc6 Nf3 Bg4 cxd5
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nf3 Bg4 4.cxd5 Bxf3 5.dxc6|d4 d5 c4 Nc6 Nf3 Bg4 cxd5 Bxf3 dxc6
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nf3 Bg4 4.cxd5 Bxf3 5.gxf3|d4 d5 c4 Nc6 Nf3 Bg4 cxd5 Bxf3 gxf3
D07|Vezir Gambiti Reddedildi|Chigorin, 3.Nf3 Bg4 4.e3|d4 d5 c4 Nc6 Nf3 Bg4 e3
D07|Vezir Gambiti Reddedildi|Chigorin, 3.cxd5|d4 d5 c4 Nc6 cxd5
D07|Vezir Gambiti Reddedildi|Chigorin, 3.cxd5 Main Line, 7.Bxc3|d4 d5 c4 Nc6 cxd5 Qxd5 e3 e5 Nc3 Bb4 Bd2 Bxc3 Bxc3
